algorithm,n,time_ms,maxDepth,comparisons,swaps,allocations
mergesort,1000,35,372,6,13659,10314,5969
quicksort,1000,53,541,6,13388,2616,0
select,1000,27,953,6,7670,5280,2441
closest,1000,78,171,10,1168,0,12176
mergesort,5000,5,318,9,66565,42645,44745
quicksort,5000,8,968,9,86560,15785,0
select,5000,2,964,7,40082,27030,12689
closest,5000,36,289,12,6454,0,73523
mergesort,10000,6,358,10,143481,90601,99489
quicksort,10000,19,235,9,173166,34201,0
select,10000,3,270,7,79926,53216,25495
closest,10000,51,452,13,12973,0,159199
mergesort,50000,38,800,12,879513,563550,597953
quicksort,50000,52,353,10,1137601,193488,0
select,50000,24,585,8,422350,282560,132672
closest,50000,288,925,16,71121,0,927251
mergesort,1000,32,847,6,13659,10314,5969
quicksort,1000,55,851,7,12682,2626,0
select,1000,33,633,6,7670,5280,2441
closest,1000,166,919,10,1168,0,12176
mergesort,5000,9,516,9,66565,42645,44745
quicksort,5000,15,038,9,85356,15744,0
select,5000,3,335,7,40082,27030,12689
closest,5000,23,241,12,6454,0,73523
mergesort,10000,4,166,10,143481,90601,99489
quicksort,10000,7,935,9,173266,34136,0
select,10000,6,721,7,79926,53216,25495
closest,10000,18,273,13,12973,0,159199
mergesort,50000,21,429,12,879513,563550,597953
quicksort,50000,22,165,11,1050706,196832,0
select,50000,7,490,8,422350,282560,132672
closest,50000,213,210,16,71121,0,927251
mergesort,1000,4,582,6,13659,10314,5969
quicksort,1000,4,813,6,12644,2649,0
select,1000,1,822,6,7670,5280,2441
closest,1000,10,667,10,1168,0,12176
mergesort,5000,4,717,9,66565,42645,44745
quicksort,5000,5,269,8,79452,15934,0
select,5000,2,169,7,40082,27030,12689
closest,5000,13,803,12,6454,0,73523
mergesort,10000,3,298,10,143481,90601,99489
quicksort,10000,12,419,9,171134,33936,0
select,10000,6,497,7,79926,53216,25495
closest,10000,19,797,13,12973,0,159199
mergesort,50000,20,826,12,879513,563550,597953
quicksort,50000,226,401,11,1044653,197349,0
select,50000,10,142,8,422350,282560,132672
closest,50000,244,927,16,71121,0,927251
mergesort,1000,6,056,6,13659,10314,5969
quicksort,1000,5,265,6,14888,2617,0
select,1000,4,125,6,7670,5280,2441
closest,1000,12,899,10,1168,0,12176
mergesort,5000,2,968,9,66565,42645,44745
quicksort,5000,3,906,8,87602,15621,0
select,5000,1,909,7,40082,27030,12689
closest,5000,11,198,12,6454,0,73523
mergesort,10000,4,928,10,143481,90601,99489
quicksort,10000,6,942,9,177310,34055,0
select,10000,2,167,7,79926,53216,25495
closest,10000,16,298,13,12973,0,159199
mergesort,50000,20,035,12,879513,563550,597953
quicksort,50000,34,460,11,1018157,197919,0
select,50000,14,931,8,422350,282560,132672
closest,50000,210,017,16,71121,0,927251
mergesort,1000,4,994,6,13659,10314,5969
quicksort,1000,4,432,6,13175,2599,0
select,1000,1,834,6,7670,5280,2441
closest,1000,15,023,10,1168,0,12176
mergesort,5000,3,032,9,66565,42645,44745
quicksort,5000,3,701,8,81633,15947,0
select,5000,1,711,7,40082,27030,12689
closest,5000,9,840,12,6454,0,73523
mergesort,10000,2,402,10,143481,90601,99489
quicksort,10000,4,673,9,184666,33688,0
select,10000,3,473,7,79926,53216,25495
closest,10000,9,844,13,12973,0,159199
mergesort,50000,15,946,12,879513,563550,597953
quicksort,50000,22,659,11,1075324,196857,0
select,50000,6,363,8,422350,282560,132672
closest,50000,123,000,16,71121,0,927251
mergesort,1000,7,416,6,13659,10314,5969
quicksort,1000,6,870,7,12685,2710,0
select,1000,3,805,6,7670,5280,2441
closest,1000,16,060,10,1168,0,12176
mergesort,5000,3,273,9,66565,42645,44745
quicksort,5000,10,279,8,83235,15675,0
select,5000,2,317,7,40082,27030,12689
closest,5000,22,494,12,6454,0,73523
mergesort,10000,3,269,10,143481,90601,99489
quicksort,10000,4,500,9,170881,34117,0
select,10000,6,143,7,79926,53216,25495
closest,10000,33,867,13,12973,0,159199
mergesort,50000,43,813,12,879513,563550,597953
quicksort,50000,40,575,10,1108038,194603,0
select,50000,10,115,8,422350,282560,132672
closest,50000,274,899,16,71121,0,927251
mergesort,1000,5,643,6,13659,10314,5969
quicksort,1000,6,495,7,13013,2667,0
select,1000,2,340,6,7670,5280,2441
closest,1000,13,898,10,1168,0,12176
mergesort,5000,3,927,9,66565,42645,44745
quicksort,5000,4,178,8,83148,15785,0
select,5000,2,160,7,40082,27030,12689
closest,5000,13,868,12,6454,0,73523
mergesort,10000,3,831,10,143481,90601,99489
quicksort,10000,8,654,8,179686,33713,0
select,10000,1,919,7,79926,53216,25495
closest,10000,18,407,13,12973,0,159199
mergesort,50000,21,842,12,879513,563550,597953
quicksort,50000,56,123,11,1065441,195808,0
select,50000,18,527,8,422350,282560,132672
closest,50000,192,073,16,71121,0,927251
